Nombre,Macro,Contact Reason 
[ACQ] - Data policy: ¿Por qué debo aceptar esta nueva Política de Tratamiento de Datos?,"Hola, {{ticket.requester.first_name}}, Gracias por contactar a Nu Colombia. Esperamos que estés muy bien. Tú tienes el control de la información que compartes con nosotros, y aceptarla es clave para seguir usando tus productos Nu sin preocupaciones. Nuestra Política de Tratamiento de Datos Personales te explica que datos recopilamos, como la usamos y cómo la mantenemos segura en Nu. Un abrazo, Equipo Nu.",Inscripción y registro al mundo Nu (Prospectos nuevos)
[ACQ] - Data policy: ¿Qué pasa si no acepto o doy mi consentimiento para esta nueva política? / ¿Por qué no puede ser opcional el aceptar la Política de Tratamiento de Datos?,"Hola, {{ticket.requester.first_name}}, Gracias por contactar a Nu Colombia. Esperamos que estés muy bien. Respetamos tu decisión, pero sin tu autorización no podríamos brindarte la experiencia Nu que mereces. El tratamiento de tus datos es necesario para validar tu identidad, cumplir con nuestras obligaciones legales, comunicarnos contigo y habilitar funcionalidades clave que hacen más fácil y segura tu experiencia con Nu. Si tienes dudas o prefieres contarnos por qué no deseas aceptarla, estamos aquí para escucharte. Un abrazo, Equipo Nu.",Inscripción y registro al mundo Nu (Prospectos nuevos)
[ACQ] - Data policy: ¿Qué pasa si no acepto o doy mi consentimiento para esta nueva política? / ¿Por qué no puede ser opcional el aceptar la Política de Tratamiento de Datos?,"Respetamos tu decisión, pero sin tu autorización no podríamos brindarte la experiencia Nu que mereces. El tratamiento de tus datos es necesario para validar tu identidad, cumplir con nuestras obligaciones legales, comunicarnos contigo y habilitar funcionalidades clave que hacen más fácil y segura tu experiencia con Nu. Si tienes dudas o prefieres contarnos por qué no deseas aceptarla, estamos aquí para escucharte.",Inscripción y registro al mundo Nu (Prospectos nuevos)
[ACQ] - Prospecto abandoned o confirmed: No sé en qué pantalla está la persona (pregunta abierta),"Para mí será todo un gusto ayudarte 💜, para poder entender mejor tu consulta. Me puedes describir/contar en que paso del registro estas.",Inscripción y registro al mundo Nu (Prospectos nuevos)
[ACQ] - Prospecto abandoned o confirmed: ," No sé en qué pantalla está la persona (pregunta cerrada)Para mí, es muy importante ayudarte en esta fase de registro 💜, me puedes confirmar si la pantalla que estás viendo en estos momentos es (modifica esta macro según la pantalla que consideres que está viendo el/la prospecto)",Inscripción y registro al mundo Nu (Prospectos nuevos)
[ACQ] - Prospectos que pueden acceder al home screen.,"Gracias por contarnos lo sucedido. Queremos informarte que tu proceso de registro está en la etapa de validación. Esto es parte de nuestro procedimiento estándar para asegurarnos de ofrecerte el mejor servicio posible.Es por eso que, por el momento, no puedes ver ni activar tus productos. Sabemos que estás con ganas de usar Nu, y te agradecemos mucho por tu paciencia. Tan pronto finalicemos la revisión te avisaremos si ya puedes acceder al app y comenzar a disfrutar de todos los beneficios que tenemos para ti.",Inscripción y registro al mundo Nu (Prospectos nuevos)
"[ACQ] - Registro: Después de poner la dirección, ¿puedo actualizarla?","Si puedes actualizar tus datos, también puedes indicarnos una dirección de entrega diferente a la de residencia si lo prefieres. Solo ten en cuenta que la dirección donde se entregue la tarjeta debe contar con nomenclatura visible en la fachada y un adulto que pueda recibir.",Inscripción y registro al mundo Nu (Prospectos nuevos)
"[ACQ] - Registro: Hago clic en el link de confirmación y no funciona, ¿qué hago?","Puedes intentar el proceso desde un computador, al darle clic al link vas a ser redirigido a nuestra página web, donde vas a ingresar tu número de documento y tu correo registrado, luego hacer la confirmación, debes dirigirte a la App y seleccionar la opción “Ya confirme mi correo”. En caso de que no cuentes con un computador, intenta copiando y pegando el link en el navegador que tengas instalado. Si esta acción no funciona, déjanos saber para realizar el reporte correspondiente con nuestro equipo encargado.",Inscripción y registro al mundo Nu (Prospectos nuevos)
"[ACQ] - Registro: Las fotos me están saliendo borrosas, ¿qué puedo hacer?","Para la situación que presentas, te recomiendo buscar un lugar iluminado, pero que no afecte la visibilidad de los documentos. También, puedes colocar tu documento de identidad sobre una mesa o un sitio donde puedas apoyar tus brazos y así tener mucha más estabilidad al tomar las fotos.",Inscripción y registro al mundo Nu (Prospectos nuevos)
"[ACQ] - Registro: No me llega el correo de confirmación, ¿qué hago?","No te preocupes, puede ser que quizás lo recibiste en la bandeja de Spam/correos no deseados, por lo que te recomiendo revisar nuevamente. Si no lo encuentras en dicha bandeja, puede ser que tuviste algún error de digitación en tu correo electrónico mientras estabas haciendo el proceso de registro y no hay de qué preocuparse, tienes la opción de modificar el correo electrónico al cual te vamos a enviar el mensaje de confirmación. Para hacerlo solo sigue estos sencillos pasos: 1. Da clic en la opción “No recibí el correo”. 2. Si el correo tiene un error de digitación, selecciona “Este no es mi correo”. 3. Finalmente, digita el correo correcto y luego da clic en “Reenviar correo”. 4. Revisa tu correo electrónico y realiza el proceso de confirmación. Y ¡listo! Habrás terminado tu registro en el App exitosamente. Nuestro equipo revisará que toda la información se encuentre correcta para poder ofrecerte el mejor servicio.",Inscripción y registro al mundo Nu (Prospectos nuevos)
"[ACQ] - Registro: No me llega el código de verificación, ¿qué hago?","No te preocupes, aquí te comparto algunas recomendaciones que pueden ayudarte: 1. Verifica que ingresaste el número de teléfono correcto (10 dígitos) y que no haya errores en la digitación. 2. Es importante que tu número de teléfono sea colombiano (indicativo +57 🇨🇴) y que no sea de un tercero. 3. Asegúrate de tener buena señal en tu teléfono. Si la señal es baja o inestable, intenta cambiar de ubicación y revisa que el modo avión esté desactivado. 4. Confirma que puedes recibir mensajes de texto y que no tienes bloqueadas las notificaciones de tu operador. El mensaje SMS puede tarde entre 45 a 60 segundos en llegar dependiendo del operador telefónico que tengas, si luego este tiempo no recibes el mensaje de texto, puedes dar clic en “enviar un nuevo código”, para recibir uno nuevo. En caso de que el mensaje siga sin llegar después de varios minutos, o presentes algún inconveniente, no dudes en reportarnos lo sucedido para ayudarte lo más pronto posible.",Inscripción y registro al mundo Nu (Prospectos nuevos)
"[ACQ] - Registro: No me llega el código de verificación, ¿qué hago?","Hola, XXXXX: Gracias por contarme lo sucedido, en esta ocasión te recomiendo: No te preocupes, aquí te comparto algunas recomendaciones que pueden ayudarte: 1. Verifica que ingresaste el número de teléfono correcto (10 dígitos) y que no haya errores en la digitación. 2. Es importante que tu número de teléfono sea colombiano (indicativo +57 :flag-co:) y que no sea de un tercero. 3. Asegúrate de tener buena señal en tu teléfono. Si la señal es baja o inestable, intenta cambiar de ubicación y revisa que el modo avión esté desactivado. 4. Confirma que puedes recibir mensajes de texto y que no tienes bloqueadas las notificaciones de tu operador. En caso de que el mensaje SMS siga sin llegar, no te preocupes, también tienes la opción de hacer el proceso de verificación de tu número de teléfono cuando ya seas cliente Nu, solo debes dar clic en el botón de ""Después"". Si quieres realizar el proceso ahora y sigues presentando el inconveniente del mensajes, no dudes en contactarnos nuevamente para poder ayudarte con el proceso y reportarlo con nuestro equipo encargado Si tienes cualquier otra inquietud, no dudes en contactarnos nuevamente a través de nuestros canales oficiales de atención al cliente 24/7. Un abrazo, Equipo Nu.",Inscripción y registro al mundo Nu (Prospectos nuevos)
[ACQ] - Registro: No sé si soy un PEP,"Si tú o un familiar cercano (como padres, abuelos, hermanos, cónyuge o hijos) ocupa o ha ocupado un cargo importante en el gobierno o el sector público, podrías ser considerado PEP. Esta condición se mantiene hasta 2 años después de dejar el cargo. Si aún tienes dudas, consulta el Decreto 830 de 2021 o verifica si existe una Declaración PEP a tu nombre o de un familiar cercano en la página del SIGEP.",Inscripción y registro al mundo Nu (Prospectos nuevos)
[ACQ] - Registro: Pasos para elegir las llaves,"Las llaves son datos que registras para identificar tu Cuenta Nu dentro del Servicio de transferencias inmediatas para que puedas enviar y recibir dinero al instante. Con este servicio, se pueden hacer transferencias de hasta $8.000.000 de manera inmediata entre bancos, entidades financieras y billeteras digitales que participan en el sistema de Redeban. Solo debes registrar tus llaves, es decir, los datos que registras para identificar tu Cuenta Nu para procesar las transferencias. Para elegir tus llaves, en el registro, solo debes seguir estos sencillos pasos: 1. Selecciona las llaves que deseas registrar, puede ser tu celular, correo electrónico, cédula y/o tu llave Nu (Código alfanumérico, en el caso de Nu es @ y tu Nu Placa). 2. Lee los términos y condiciones del sistema de pagos inmediatos; si estás de acuerdo, acéptalos, dando clic en “Continuar”. 3. Las llaves seleccionadas quedarán registradas cuando tu cuenta Nu esté lista, es decir, luego de que revisemos tus datos.",Inscripción y registro al mundo Nu (Prospectos nuevos)
[ACQ] - Registro: Pasos para elegir las llaves,"Hola, XXXXX. Gracias por contactar a Nu. Esperamos que te encuentres muy bien. Las llaves son datos que registras para identificar tu Cuenta Nu dentro del Servicio de transferencias inmediatas para que puedas enviar y recibir dinero al instante. Con este servicio, se pueden hacer transferencias de hasta $8.000.000 de manera inmediata entre bancos, entidades financieras y billeteras digitales que participan en el sistema de Redeban. Solo debes registrar tus llaves, es decir, los datos que registras para identificar tu Cuenta Nu para procesar las transferencias. Para elegir tus llaves, en el registro, solo debes seguir estos sencillos pasos: 1. Selecciona las llaves que deseas registrar, puede ser tu celular, correo electrónico, cédula y/o tu llave Nu (Código alfanumérico, en el caso de Nu es @ y tu Nu Placa). 2. Lee los términos y condiciones del sistema de pagos inmediatos; si estás de acuerdo, acéptalos, dando clic en “Continuar”. 3. Las llaves seleccionadas quedarán registradas cuando tu cuenta Nu esté lista, es decir, luego de que revisemos tus datos. Para conocer más acerca de las llaves de identificación para pagos inmediatos, visita nuestro blog: https://blog.nu.com.co/llaves-de-identificacion-para-pagos-inmediatos/. Si tienes cualquier otra inquietud, no dudes en contactarnos nuevamente a través de nuestros canales oficiales de atención al cliente 24/7. Un abrazo, Equipo Nu. En Nu valoramos tu opinión y siempre buscamos mejorar nuestro servicio. En 24 horas, recibirás una encuesta en tu App donde podrás comentarnos, en una escala del 0 al 10, qué tanto recomendarías Nu, siendo: 1) 0 a 6: ""No nos recomendarías"" 2) 7 a 8: ""Quizá nos recomendarías"" 3) 9 a 10: ""Nos recomendarías totalmente"". ¡Te deseamos un gran día y recuerda que tenemos servicio 24/7 para apoyarte en lo que necesites!",Inscripción y registro al mundo Nu (Prospectos nuevos)
[ACQ] - Registro: Pasos para registrar las llaves,"Hola, XXXXX. Gracias por contactar a Nu. Esperamos que te encuentres muy bien. Las llaves son datos que registras y usas dentro del Servicio de transferencias inmediatas del Banco de la República para enviar y recibir dinero al instante entre bancos. Puede ser tu número de celular, correo electrónico, documento de identidad, y una Llave Alfanumérica como tu Llave Nu. Tú eliges las llaves que desees registrar y compartir para recibir dinero en segundos. Para elegir tus llaves, en el registro, solo debes seguir estos sencillos pasos: 1. Selecciona las llaves que deseas registrar, puede ser tu celular, correo electrónico, cédula y/o tu llave Nu (Código alfanumérico, en el caso de Nu es @ y tu Nu Placa). 2. Lee los términos y condiciones del sistema de pagos inmediatos; si estás de acuerdo, acéptalos, dando clic en “Continuar”. 3. Las llaves seleccionadas quedarán registradas cuando tu cuenta Nu esté lista, es decir, luego de que revisemos tus datos. Para conocer más acerca de las llaves de identificación para pagos inmediatos, visita nuestro blog: https://blog.nu.com.co/llaves-de-identificacion-para-pagos-inmediatos/. Si tienes cualquier otra inquietud, no dudes en contactarnos nuevamente a través de nuestros canales oficiales de atención al cliente 24/7. Un abrazo, Equipo Nu. En Nu valoramos tu opinión y siempre buscamos mejorar nuestro servicio. En 24 horas, recibirás una encuesta en tu App donde podrás comentarnos, en una escala del 0 al 10, qué tanto recomendarías Nu, siendo: 1) 0 a 6: ""No nos recomendarías"" 2) 7 a 8: ""Quizá nos recomendarías"" 3) 9 a 10: ""Nos recomendarías totalmente"". ¡Te deseamos un gran día y recuerda que tenemos servicio 24/7 para apoyarte en lo que necesites!",Inscripción y registro al mundo Nu (Prospectos nuevos)
[ACQ] - Registro: Pasos para registrar las llaves,"Las llaves son datos que registras y usas dentro del Servicio de transferencias inmediatas del Banco de la República para enviar y recibir dinero al instante entre bancos. Puede ser tu número de celular, correo electrónico, documento de identidad, y una Llave Alfanumérica como tu Llave Nu. Tú eliges las llaves que desees registrar y compartir para recibir dinero en segundos. Para elegir tus llaves, en el registro, solo debes seguir estos sencillos pasos: 1. Selecciona las llaves que deseas registrar, puede ser tu celular, correo electrónico, cédula y/o tu @Llave Nu 2. Lee los términos y condiciones del sistema de pagos inmediatos; si estás de acuerdo, acéptalos dando clic en “Continuar”. 3. Las llaves seleccionadas quedarán registradas cuando tu Cuenta Nu esté lista para usar.",Inscripción y registro al mundo Nu (Prospectos nuevos)
"[ACQ] - Registro: Pongo el código de verificación, pero no se valida el celular, ¿qué hago?","Hola, XXXXX: Gracias por contarme lo sucedido, en esta ocasión te recomiendo: 1. Verificar que el código ingresado sea el mismo que recibiste en el mensaje de texto. Asegúrate de que no haya espacios extra o errores al digitarlo. 2. Intenta solicitar un nuevo código y espera unos minutos antes de ingresarlo nuevamente. En caso de que el mensaje SMS siga sin llegar, no te preocupes, también tienes la opción de hacer el proceso de verificación de tu número de teléfono cuando ya seas cliente Nu, solo debes dar clic en el botón de ""Después"". Si quieres realizar el proceso ahora y sigues presentando el inconveniente del mensajes, no dudes en contactarnos nuevamente para poder ayudarte con el proceso y reportarlo con nuestro equipo encargado Si tienes cualquier otra inquietud, no dudes en contactarnos nuevamente a través de nuestros canales oficiales de atención al cliente 24/7. Un abrazo, Equipo Nu.",Inscripción y registro al mundo Nu (Prospectos nuevos)
"[ACQ] - Registro: Pongo el código de verificación, pero no se valida el celular, ¿qué hago?","Gracias por contarme lo sucedido, en esta ocasión te recomiendo: 1. Verificar que el código ingresado sea el mismo que recibiste en el mensaje de texto. Asegúrate de que no haya espacios extra o errores al digitarlo. 2. Intenta solicitar un nuevo código y espera unos minutos antes de ingresarlo nuevamente. En caso de que el mensaje SMS siga sin llegar, no te preocupes, también tienes la opción de hacer el proceso de verificación de tu número de teléfono cuando ya seas cliente Nu, solo debes dar clic en el botón de ""Después"". Si el problema persiste, me cuentas y con gusto te ayudo, escaldo el caso con nuestro equipo especializado, para que te ayudemos cuanto antes.",Inscripción y registro al mundo Nu (Prospectos nuevos)
"[ACQ] - Registro: Si elijo una fecha límite de pago ahora, después, ¿puedo cambiarla?","La fecha límite de pago la eliges tú, y solo podrás cambiarla cada 90 días siempre que tu deuda total sea igual a $0 y no tengas intereses pendientes por pagar.",Inscripción y registro al mundo Nu (Prospectos nuevos)
"[ACQ] - Registro: Si entro en mora, ¿en cuántos días me reportan a centrales?","Simplificar tus finanzas es muy importante para nosotros, por eso recuerda siempre pagar tu Tarjeta de Crédito Nu hasta el día de tu fecha límite de pago, el séptimo día de mora recibirás un “preaviso” de reporte en el cual se te notificara del posible reporte negativo 20 días después en caso de no normalices tu situación.",Inscripción y registro al mundo Nu (Prospectos nuevos)
"[ACQ] - Registro: Si modifico mi límite de crédito, ¿Qué valor es el que reportan a las centrales de riesgo?","Me alegra ayudarte con esta consulta, cuando modificas tu límite de crédito, generalmente, la información reportada a las centrales de riesgo incluye detalles como: nuevo límite de crédito, saldo actual, historial de pagos y fecha de actualización.",Inscripción y registro al mundo Nu (Prospectos nuevos)
"[ACQ] - Registro: Si no quiero confirmar el email, ¿qué pasa?","Para nosotros es muy importante proteger tus datos y hacer la validación de tu identidad, por lo cual, para poder continuar con el proceso, es indispensable recibir la confirmación de tu correo.",Inscripción y registro al mundo Nu (Prospectos nuevos)
"[ACQ] - Registro: Si no quiero verificar el celular en el registro, ¿qué pasa?","Hola, XXXXX: Gracias por contactar a Nu. Esperamos que te encuentres bien. No te preocupes, si en este momento no deseas verificar tu número telefónico, no hay problema. Puedes seguir con tu registro, dando clic en el botón “Después”. Este proceso de verificación, lo podrás hacer una vez que seas cliente, de forma fácil y sencilla, desde tu App Nu, en la opción de “Tus llaves”. Te tomará solo un par de minutos y podrás usarla para recibir dinero de manera instantánea y sin costo entre bancos. Si en algún momento requieres de nuestra ayuda, recuerda que estamos aquí para ti 24/7. Si tienes cualquier otra inquietud, no dudes en contactarnos nuevamente a través de nuestros canales oficiales de atención al cliente 24/7. Un abrazo, Equipo Nu. En Nu valoramos tu opinión y siempre buscamos mejorar nuestro servicio. En 24 horas, recibirás una encuesta en tu App donde podrás comentarnos, en una escala del 0 al 10, qué tanto recomendarías Nu, siendo: 1) 0 a 6: ""No nos recomendarías"" 2) 7 a 8: ""Quizá nos recomendarías"" 3) 9 a 10: ""Nos recomendarías totalmente"" ¡Te deseamos un gran día y recuerda que tenemos servicio 24/7 para apoyarte en lo que necesites!",Inscripción y registro al mundo Nu (Prospectos nuevos)
"[ACQ] - Registro: Si no quiero verificar el celular en el registro, ¿qué pasa? - Variante opcional","No te preocupes, si en este momento no deseas verificar tu número telefónico, no hay problema. Puedes seguir con tu registro, dando clic en el botón “Después”. Este proceso de verificación, lo podrás hacer una vez que seas cliente, de forma fácil y sencilla, desde tu App Nu, en la opción de “Tus llaves”. Te tomará solo un par de minutos y podrás usarla para recibir dinero de manera instantánea y sin costo entre bancos. Si en algún momento requieres de nuestra ayuda, recuerda que estamos aquí para ti 24/7.",Inscripción y registro al mundo Nu (Prospectos nuevos)
"[ACQ] - Registro: Si no quiero verificar el celular, ¿qué pasa? -"," Variante obligatoriaPara poder continuar con tu registro y para garantizar la seguridad de tus datos, realizar este paso es necesario. Además, al verificar tu celular, podrás usarlo como una llave, la cual te permitirá recibir dinero de forma instantánea, sin costo y sencilla cuando seas cliente.",Inscripción y registro al mundo Nu (Prospectos nuevos)
"[ACQ] - Registro: Si tengo una incapacidad, quedó sin trabajo o tengo una discapacidad total o parcial ¿Nu cobra un seguro?","Como puedes observar en nuestro sitio web https://nu.com.co/condiciones/, en Nu, no cobramos seguros obligatorios, dado que Nu no toma un seguro que cubra el saldo de la deuda de tu tarjeta de crédito Nu; sin embargo, en caso de que lo desees, puedes contratarlo de forma independiente.",Inscripción y registro al mundo Nu (Prospectos nuevos)
"[ACQ] - Registro: Tengo problemas para digitar la fecha de nacimiento, ¿qué debo hacer?","El formato que te pide nuestra App para digitar la fecha de nacimiento es **DD/MM/AAAA**, te comparto un ejemplo, 21/11/1988. De esa manera, el sistema reconocerá la fecha y podrás continuar. Recuerda verificar los datos digitados antes de seguir con el registro.",Inscripción y registro al mundo Nu (Prospectos nuevos)
"[ACQ] - Registro: Una vez llegue la fecha de corte (due date), ¿cuántos días tengo para pagar?","A partir de la fecha de corte, tienes 20 días calendario hasta la fecha límite de pago. Es decir, si eliges que tu fecha de corte sea el 30 de cada mes, tu fecha límite de pago será el día 20 del mes siguiente.",Inscripción y registro al mundo Nu (Prospectos nuevos)
